baseline_ns,cam5,cam6
10420207583544,10420207583544,10420211911904,10420213400722
10420207583544,10420207583544,10420211911904,10420213400722
10420211911904,10420211911904,10420213400722
10420211911904,10420211911904,10420213400722
10420241047149,10420241047149,10420245289898
10420241047149,10420241047149,10420245289898
10420241047149,10420241047149,10420245289898,10420251884071
10420241047149,10420241047149,10420245289898,10420251884071
10420241047149,10420241047149,10420245289898,10420251884071
10420245289898,10420245289898,10420251884071
10420245289898,10420245289898,10420251884071
10420274260728,10420274260728,10420280375187
10420274260728,10420274260728,10420280375187
10420274260728,10420274260728,10420280039477,10420280375187
10420274260728,10420274260728,10420280039477,10420280375187
10420274260728,10420274260728,10420280039477,10420280375187
10420280039477,10420280039477,10420280375187
10420280039477,10420280039477,10420280375187
10420307684675,10420307684675,10420315023046
10420307684675,10420307684675,10420315023046
10420307684675,10420307684675,10420314217436,10420315023046
10420307684675,10420307684675,10420314217436,10420315023046
10420307684675,10420307684675,10420314217436,10420315023046
10420314217436,10420314217436,10420315023046
